,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
601,Iztapalapa,Xalpa,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,45.0,1.0,2,1,650.0,2
602,Alvaro Obregon,Jardines del Pedregal,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,0,1,198.0,3.0,3,3,9990.0,3
603,Alvaro Obregon,Olivar de los padres,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,0,1,123.0,2.0,3,2,5000.0,1
604,Gustavo A. Madero,Jorge Negrete,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,1,72.0,1.0,3,1,404.348,2
605,Tlahuac,Del Mar,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,80.0,1.0,3,1,2156.945,2
606,Iztapalapa,San Miguel,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,61.0,1.0,2,1,801.84,2
607,Xochimilco,RINCÓN DEL SUR,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,1,0,123.0,2.0,3,1,2900.0,1
608,Coyoacan,Pedregal de Santo Domingo,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,0,0,0,1,1,51.0,1.0,2,1,1874.0,2
609,Gustavo A. Madero,El Coyol,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,1,79.0,1.0,3,0,886.68,2
610,Alvaro Obregon,Santa Fe,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,0,1,1,90.0,2.0,2,2,4449.0,1
611,Xochimilco,San Lorenzo La Cebada,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,1,0,96.0,1.0,2,1,3882.84,1
612,Venustiano Carranza,Artes Gráficas,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,1,1,80.0,1.0,2,1,658.652,2
613,Miguel Hidalgo,Polanco,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,0,0,0,1,1,300.0,2.0,3,2,13500.0,3
614,Benito Juárez,Xoco,0.35153771919019605,6.230001723306864,31.695906807823537,6.0718089010264675,20.07138209353137,0.47685406497156857,0.025016822565686277,0.019991669161764702,3.1690900893558824,15.149626544900984,1,0,0,1,1,1,111.0,2.0,2,2,7019.587,1
615,Alvaro Obregon,Tizapan,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,1,1,190.0,3.5,3,3,8585.0,1
616,Miguel Hidalgo,Polanco,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,0,0,0,0,0,227.0,2.0,3,2,10300.0,3
